feature,count,missing,min,q25,median,q75,max,mean,std,iqr_outliers
"age",353,0,19,38,50,58,79,48.113314447592067,12.940205416062939,0
"sex",353,0,1,1,1,2,2,1.4872521246458923,0.49983746525641259,0
"bmi",353,0,18,23.100000000000001,25.699999999999999,29.199999999999999,42.200000000000003,26.338526912181305,4.417059394442747,2
"bp",353,0,62,85,93,106,133,95.041473087818702,13.964428467332541,0
"s1",353,0,97,164,186,209,301,188.40226628895184,35.420456237552884,7
"s2",353,0,41.600000000000001,93.799999999999997,112.40000000000001,134.59999999999999,242.40000000000001,114.75835694050984,31.127108406557987,5
"s3",353,0,22,41,48,58,99,49.919263456090654,12.67494562051446,5
"s4",353,0,2,3,4,5,9.0899999999999999,4.0362889518413603,1.2578940971187984,2
"s5",353,0,3.2581000000000002,4.2626999999999997,4.585,4.9836,6.1070000000000002,4.6275348441926329,0.53102348785143649,5
"s6",353,0,58,84,91,98,124,91.215297450424927,11.604633903216016,10
